"TABLE_NAME","COLUMN_NAME"
"account_inventory_type","description"
"account_inventory_type_option_type","account_inventory_type_option_types_id"
"account_inventory_type_option_type","option_type_id"
"account_invoice","id"
"account_invoice","interval_price"
"account_invoice","actual_storage_price"
"account_invoice","resource_external_id"
"account_invoice","layout_name"
"account_invoice","date_created"
"account_invoice","compute_price"
"account_invoice","software_or_service_cost"
"account_invoice","extra_cost"
"account_invoice","actual_currency"
"account_invoice","ref_name"
"account_invoice","total_price"
"account_invoice","storage_price"
"account_invoice","estimate"
"account_invoice","server_name"
"account_invoice","license_price"
"account_invoice","running_price"
"account_invoice","active"
"account_invoice","conversion_rate"
"account_invoice","config"
"account_invoice","account_name"
"account_invoice","ref_end"
"account_invoice","compute_cost"
"account_invoice","resource_internal_id"
"account_invoice","total_cost"
"account_invoice","resource_uuid"
"account_invoice","layout_id"
"account_invoice","resource_id"
"account_invoice","plan_id"
"account_invoice","actual_running_cost"
"account_invoice","user_id"
"account_invoice","site_id"
"account_invoice","currency"
"account_invoice","extra_price"
"account_invoice","ref_type"
"account_invoice","usage_category"
"account_invoice","last_actual_date"
"account_invoice","power_date"
"account_invoice","actual_license_price"
"account_invoice","usage_type"
"account_invoice","actual_storage_cost"
"account_invoice","project_tags"
"account_invoice","running_cost"
"account_invoice","zone_name"
"account_invoice","account_id"
"account_invoice","usage_service"
"account_invoice","storage_cost"
"account_invoice","zone_region"
"account_invoice","actual_conversion_rate"
"account_invoice","actual_software_or_service_price"
"account_invoice","off_time"
"account_invoice","ref_category"
"account_invoice","actual_license_cost"
"account_invoice","owner_id"
"account_invoice","actual_total_cost"
"account_invoice","refuuid"
"account_invoice","site_name"
"account_invoice","resource_name"
"account_invoice","license_cost"
"account_invoice","actual_extra_cost"
"account_invoice","last_updated"
"account_invoice","server_group_name"
"account_invoice","actual_network_price"
"account_invoice","user_name"
"account_invoice","summary_invoice"
"account_invoice","memory_price"
"account_invoice","actual_software_or_service_cost"
"account_invoice","software_or_service_price"
"account_invoice","memory_cost"
"account_invoice","running_multiplier"
"account_invoice","actual_running_price"
"account_invoice","actual_compute_price"
"account_invoice","resource_type"
"account_invoice","ref_start"
"account_invoice","end_date"
"account_invoice","interval_cost"
"account_invoice","project_name"
"account_invoice","instance_name"
"account_invoice","actual_total_price"
"account_invoice","zone_id"
"account_invoice","start_date"
"account_invoice","owner_name"
"account_invoice","last_cost_date"
"account_invoice","server_id"
"account_invoice","actual_compute_cost"
"account_invoice","plan_name"
"account_invoice","actual_memory_cost"
"account_invoice","ref_id"
"account_invoice","actual_memory_price"
"account_invoice","server_group_id"
"account_invoice","instance_id"
"account_invoice","period"
"account_invoice","network_cost"
"account_invoice","actual_network_cost"
"account_invoice","zoneuuid"
"account_invoice","power_state"
"account_invoice","period_interval"
"account_invoice","actual_extra_price"
"account_invoice","network_price"
"account_invoice","project_id"
"account_invoice","raw_data"
"account_invoice","last_invoice_sync_date"
"account_invoice_account_invoice","account_invoice_child_invoices_id"
"account_invoice_account_invoice","account_invoice_id"
"account_invoice_item","id"
"account_invoice_item","date_check_hash"
"account_invoice_item","resource_external_id"
"account_invoice_item","item_id"
"account_invoice_item","date_created"
"account_invoice_item","ref_name"
"account_invoice_item","item_usage"
"account_invoice_item","item_action"
"account_invoice_item","item_tax"
